market_ticker,event_ticker,game_date,home_team_abbr,away_team_abbr,market_question,yes_team_abbr,no_team_abbr,yes_bid_cents,yes_ask_cents,yes_mid_cents,close_price_cents,settlement,volume,open_time,close_time,series_ticker,status,last_price_cents,public_api_updated_time,public_api_expected_expiration_time,price_source
KXNBAGAME-26MAY07CLEDET-CLE,KXNBAGAME-26MAY07CLEDET,2026-05-07,DET,CLE,Game 2: Cleveland at Detroit Winner?,CLE,DET,49.0,50.0,49.5,,,9101310.63,2026-05-04T15:05:00Z,2026-05-21T23:00:00Z,KXNBAGAME,active,49.0,2026-05-04T15:05:00.303739Z,2026-05-08T02:00:00Z,public_bid_ask_mid
KXNBAGAME-26MAY07CLEDET-DET,KXNBAGAME-26MAY07CLEDET,2026-05-07,DET,CLE,Game 2: Cleveland at Detroit Winner?,DET,CLE,50.0,51.0,50.5,,,7150079.23,2026-05-04T15:05:00Z,2026-05-21T23:00:00Z,KXNBAGAME,active,51.0,2026-05-04T15:05:00.303739Z,2026-05-08T02:00:00Z,public_bid_ask_mid
KXNBAGAME-26MAY07LALOKC-LAL,KXNBAGAME-26MAY07LALOKC,2026-05-07,OKC,LAL,Game 2: Los Angeles L at Oklahoma City Winner?,LAL,OKC,12.0,13.0,12.5,,,6607736.28,2026-05-03T02:55:00Z,2026-05-22T01:30:00Z,KXNBAGAME,active,13.0,2026-05-03T02:55:00.303686Z,2026-05-08T04:30:00Z,public_bid_ask_mid
KXNBAGAME-26MAY07LALOKC-OKC,KXNBAGAME-26MAY07LALOKC,2026-05-07,OKC,LAL,Game 2: Los Angeles L at Oklahoma City Winner?,OKC,LAL,87.0,88.0,87.5,,,2012881.0,2026-05-03T02:55:00Z,2026-05-22T01:30:00Z,KXNBAGAME,active,88.0,2026-05-03T02:55:00.303686Z,2026-05-08T04:30:00Z,public_bid_ask_mid
KXNBAGAME-26MAY08NYKPHI-NYK,KXNBAGAME-26MAY08NYKPHI,2026-05-08,PHI,NYK,Game 3: New York at Philadelphia Winner?,NYK,PHI,49.0,50.0,49.5,,,183191.3,2026-05-03T02:55:00Z,2026-05-22T23:00:00Z,KXNBAGAME,active,50.0,2026-05-03T02:55:00.303686Z,2026-05-09T02:00:00Z,public_bid_ask_mid
KXNBAGAME-26MAY08NYKPHI-PHI,KXNBAGAME-26MAY08NYKPHI,2026-05-08,PHI,NYK,Game 3: New York at Philadelphia Winner?,PHI,NYK,50.0,51.0,50.5,,,143248.24,2026-05-03T02:55:00Z,2026-05-22T23:00:00Z,KXNBAGAME,active,51.0,2026-05-03T02:55:00.303686Z,2026-05-09T02:00:00Z,public_bid_ask_mid
KXNBAGAME-26MAY08SASMIN-MIN,KXNBAGAME-26MAY08SASMIN,2026-05-08,MIN,SAS,Game 3: San Antonio at Minnesota Winner?,MIN,SAS,35.0,36.0,35.5,,,153278.44,2026-05-01T17:00:00Z,2026-05-22T17:00:00Z,KXNBAGAME,active,36.0,2026-05-01T17:00:01.0047Z,2026-05-08T20:00:00Z,public_bid_ask_mid
KXNBAGAME-26MAY08SASMIN-SAS,KXNBAGAME-26MAY08SASMIN,2026-05-08,MIN,SAS,Game 3: San Antonio at Minnesota Winner?,SAS,MIN,64.0,65.0,64.5,,,165355.24,2026-05-01T17:00:00Z,2026-05-22T17:00:00Z,KXNBAGAME,active,65.0,2026-05-01T17:00:01.107344Z,2026-05-08T20:00:00Z,public_bid_ask_mid
KXNBAGAME-26MAY09DETCLE-CLE,KXNBAGAME-26MAY09DETCLE,2026-05-09,CLE,DET,Game 3: Detroit at Cleveland Winner?,CLE,DET,56.99999999999999,60.0,58.5,,,2218.85,2026-05-04T15:05:00Z,2026-05-23T19:00:00Z,KXNBAGAME,active,59.0,2026-05-04T15:05:00.303739Z,2026-05-09T22:00:00Z,public_bid_ask_mid
KXNBAGAME-26MAY09DETCLE-DET,KXNBAGAME-26MAY09DETCLE,2026-05-09,CLE,DET,Game 3: Detroit at Cleveland Winner?,DET,CLE,42.0,43.0,42.5,,,14517.78,2026-05-04T15:05:00Z,2026-05-23T19:00:00Z,KXNBAGAME,active,43.0,2026-05-04T15:05:00.303739Z,2026-05-09T22:00:00Z,public_bid_ask_mid
KXNBAGAME-26MAY09OKCLAL-LAL,KXNBAGAME-26MAY09OKCLAL,2026-05-09,LAL,OKC,Game 3: Oklahoma City at Los Angeles L Winner?,LAL,OKC,23.0,24.0,23.5,,,68121.13,2026-05-03T02:55:00Z,2026-05-24T00:30:00Z,KXNBAGAME,active,24.0,2026-05-03T02:55:00.303686Z,2026-05-10T03:30:00Z,public_bid_ask_mid
KXNBAGAME-26MAY09OKCLAL-OKC,KXNBAGAME-26MAY09OKCLAL,2026-05-09,LAL,OKC,Game 3: Oklahoma City at Los Angeles L Winner?,OKC,LAL,78.0,79.0,78.5,,,26906.24,2026-05-03T02:55:00Z,2026-05-24T00:30:00Z,KXNBAGAME,active,78.0,2026-05-03T02:55:00.303686Z,2026-05-10T03:30:00Z,public_bid_ask_mid
KXNBAGAME-26MAY10NYKPHI-NYK,KXNBAGAME-26MAY10NYKPHI,2026-05-10,PHI,NYK,Game 4: New York at Philadelphia Winner?,NYK,PHI,53.0,54.0,53.5,,,14075.1,2026-05-03T02:55:00Z,2026-05-24T19:30:00Z,KXNBAGAME,active,54.0,2026-05-03T02:55:00.303686Z,2026-05-10T22:30:00Z,public_bid_ask_mid
KXNBAGAME-26MAY10NYKPHI-PHI,KXNBAGAME-26MAY10NYKPHI,2026-05-10,PHI,NYK,Game 4: New York at Philadelphia Winner?,PHI,NYK,49.0,50.0,49.5,,,6449.99,2026-05-03T02:55:00Z,2026-05-24T19:30:00Z,KXNBAGAME,active,49.0,2026-05-03T02:55:00.303686Z,2026-05-10T22:30:00Z,public_bid_ask_mid
KXNBAGAME-26MAY10SASMIN-MIN,KXNBAGAME-26MAY10SASMIN,2026-05-10,MIN,SAS,Game 4: San Antonio at Minnesota Winner?,MIN,SAS,36.0,37.0,36.5,,,18440.48,2026-05-01T17:00:00Z,2026-05-24T17:00:00Z,KXNBAGAME,active,37.0,2026-05-01T17:00:00.65621Z,2026-05-10T20:00:00Z,public_bid_ask_mid
KXNBAGAME-26MAY10SASMIN-SAS,KXNBAGAME-26MAY10SASMIN,2026-05-10,MIN,SAS,Game 4: San Antonio at Minnesota Winner?,SAS,MIN,64.0,65.0,64.5,,,12774.59,2026-05-01T17:00:00Z,2026-05-24T17:00:00Z,KXNBAGAME,active,65.0,2026-05-01T17:00:01.107344Z,2026-05-10T20:00:00Z,public_bid_ask_mid
KXNBAGAME-26MAY11DETCLE-CLE,KXNBAGAME-26MAY11DETCLE,2026-05-11,CLE,DET,Game 4: Detroit at Cleveland Winner?,CLE,DET,53.0,56.00000000000001,54.5,,,855.21,2026-05-04T15:06:00Z,2026-05-26T00:00:00Z,KXNBAGAME,active,54.0,2026-05-04T15:06:00.302566Z,2026-05-12T03:00:00Z,public_bid_ask_mid
KXNBAGAME-26MAY11DETCLE-DET,KXNBAGAME-26MAY11DETCLE,2026-05-11,CLE,DET,Game 4: Detroit at Cleveland Winner?,DET,CLE,44.0,48.0,46.0,,,4649.19,2026-05-04T15:06:00Z,2026-05-26T00:00:00Z,KXNBAGAME,active,48.0,2026-05-04T15:06:00.302566Z,2026-05-12T03:00:00Z,public_bid_ask_mid
KXNBAGAME-26MAY11OKCLAL-LAL,KXNBAGAME-26MAY11OKCLAL,2026-05-11,LAL,OKC,Game 4: Oklahoma City at Los Angeles L Winner?,LAL,OKC,25.0,27.0,26.0,,,18032.32,2026-05-03T02:55:00Z,2026-05-26T02:30:00Z,KXNBAGAME,active,27.0,2026-05-03T02:55:00.303686Z,2026-05-12T05:30:00Z,public_bid_ask_mid
KXNBAGAME-26MAY11OKCLAL-OKC,KXNBAGAME-26MAY11OKCLAL,2026-05-11,LAL,OKC,Game 4: Oklahoma City at Los Angeles L Winner?,OKC,LAL,75.0,76.0,75.5,,,7875.05,2026-05-03T02:55:00Z,2026-05-26T02:30:00Z,KXNBAGAME,active,76.0,2026-05-03T02:55:00.303686Z,2026-05-12T05:30:00Z,public_bid_ask_mid
KXNBAGAME-26MAY12MINSAS-MIN,KXNBAGAME-26MAY12MINSAS,2026-05-12,SAS,MIN,Game 5: Minnesota at San Antonio Winner?,MIN,SAS,25.0,26.0,25.5,,,1691.98,2026-05-07T07:06:00Z,2026-05-26T17:00:00Z,KXNBAGAME,active,23.0,2026-05-07T07:06:00.304337Z,2026-05-12T20:00:00Z,public_bid_ask_mid
KXNBAGAME-26MAY12MINSAS-SAS,KXNBAGAME-26MAY12MINSAS,2026-05-12,SAS,MIN,Game 5: Minnesota at San Antonio Winner?,SAS,MIN,76.0,78.0,77.0,,,516.03,2026-05-07T07:06:00Z,2026-05-26T17:00:00Z,KXNBAGAME,active,79.0,2026-05-07T07:06:00.304337Z,2026-05-12T20:00:00Z,public_bid_ask_mid
