market_ticker,event_ticker,game_date,home_team_abbr,away_team_abbr,market_question,yes_team_abbr,no_team_abbr,yes_bid_cents,yes_ask_cents,yes_mid_cents,close_price_cents,settlement,volume,open_time,close_time
KXNBA-20241022-BOSNYK-BOS,KXNBA-20241022-BOSNYK,2024-10-22,BOS,NYK,Will BOS beat NYK?,BOS,NYK,53,57,55,70,YES,1200,2024-10-21 12:00:00,2024-10-22 19:30:00
KXNBA-20241022-LALMIN-LAL,KXNBA-20241022-LALMIN,2024-10-22,LAL,MIN,Will LAL beat MIN?,LAL,MIN,49,53,51,58,YES,950,2024-10-21 12:00:00,2024-10-22 22:00:00
KXNBA-20241023-DETIND-IND,KXNBA-20241023-DETIND,2024-10-23,DET,IND,Will IND beat DET?,IND,DET,54,58,56,63,YES,800,2024-10-22 12:00:00,2024-10-23 19:00:00
KXNBA-20241023-ATLBKN-ATL,KXNBA-20241023-ATLBKN,2024-10-23,ATL,BKN,Will ATL beat BKN?,ATL,BKN,50,54,52,57,YES,650,2024-10-22 12:00:00,2024-10-23 19:30:00
KXNBA-20241023-MIAORL-MIA,KXNBA-20241023-MIAORL,2024-10-23,MIA,ORL,Will MIA beat ORL?,MIA,ORL,57,61,59,38,NO,700,2024-10-22 12:00:00,2024-10-23 19:30:00
KXNBA-20241023-PHIMIL-MIL,KXNBA-20241023-PHIMIL,2024-10-23,PHI,MIL,Will MIL beat PHI?,MIL,PHI,58,62,60,70,YES,1400,2024-10-22 12:00:00,2024-10-23 19:30:00
KXNBA-20241023-TORCLE-CLE,KXNBA-20241023-TORCLE,2024-10-23,TOR,CLE,Will CLE beat TOR?,CLE,TOR,55,59,57,75,YES,1000,2024-10-22 12:00:00,2024-10-23 19:30:00
KXNBA-20241023-HOUCHA-HOU,KXNBA-20241023-HOUCHA,2024-10-23,HOU,CHA,Will HOU beat CHA?,HOU,CHA,60,64,62,42,NO,500,2024-10-22 12:00:00,2024-10-23 20:00:00
KXNBA-20241023-NOPCHI-NOP,KXNBA-20241023-NOPCHI,2024-10-23,NOP,CHI,Will NOP beat CHI?,NOP,CHI,54,58,56,66,YES,750,2024-10-22 12:00:00,2024-10-23 20:00:00
KXNBA-20241023-UTAMEM-MEM,KXNBA-20241023-UTAMEM,2024-10-23,UTA,MEM,Will MEM beat UTA?,MEM,UTA,48,52,50,59,YES,600,2024-10-22 12:00:00,2024-10-23 21:00:00
