fixture_id,game_date,team,opponent,sport,league,competition_type,player_name,status,injury_type,position,importance_score,expected_minutes_or_role,last_updated,return_estimate,source,notes
soccer_international_2026-06-20_ecuador_curacao_fifa_world_cup,2026-06-20,Curaçao,Ecuador,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-20_ecuador_curacao_fifa_world_cup,2026-06-20,Ecuador,Curaçao,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-20_germany_ivory_coast_fifa_world_cup,2026-06-20,Germany,Ivory Coast,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-20_germany_ivory_coast_fifa_world_cup,2026-06-20,Ivory Coast,Germany,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-20_netherlands_sweden_fifa_world_cup,2026-06-20,Netherlands,Sweden,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-20_netherlands_sweden_fifa_world_cup,2026-06-20,Sweden,Netherlands,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-20_tunisia_japan_fifa_world_cup,2026-06-20,Japan,Tunisia,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-20_tunisia_japan_fifa_world_cup,2026-06-20,Tunisia,Japan,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-21_belgium_iran_fifa_world_cup,2026-06-21,Belgium,Iran,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-21_belgium_iran_fifa_world_cup,2026-06-21,Iran,Belgium,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-21_new_zealand_egypt_fifa_world_cup,2026-06-21,Egypt,New Zealand,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-21_new_zealand_egypt_fifa_world_cup,2026-06-21,New Zealand,Egypt,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-21_spain_saudi_arabia_fifa_world_cup,2026-06-21,Saudi Arabia,Spain,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-21_spain_saudi_arabia_fifa_world_cup,2026-06-21,Spain,Saudi Arabia,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-21_uruguay_cape_verde_fifa_world_cup,2026-06-21,Cape Verde,Uruguay,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-21_uruguay_cape_verde_fifa_world_cup,2026-06-21,Uruguay,Cape Verde,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-22_argentina_austria_fifa_world_cup,2026-06-22,Argentina,Austria,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-22_argentina_austria_fifa_world_cup,2026-06-22,Austria,Argentina,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-22_france_iraq_fifa_world_cup,2026-06-22,France,Iraq,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-22_france_iraq_fifa_world_cup,2026-06-22,Iraq,France,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-22_jordan_algeria_fifa_world_cup,2026-06-22,Algeria,Jordan,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-22_jordan_algeria_fifa_world_cup,2026-06-22,Jordan,Algeria,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-22_norway_senegal_fifa_world_cup,2026-06-22,Norway,Senegal,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-22_norway_senegal_fifa_world_cup,2026-06-22,Senegal,Norway,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-23_colombia_dr_congo_fifa_world_cup,2026-06-23,Colombia,DR Congo,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-23_colombia_dr_congo_fifa_world_cup,2026-06-23,DR Congo,Colombia,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-23_england_ghana_fifa_world_cup,2026-06-23,England,Ghana,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-23_england_ghana_fifa_world_cup,2026-06-23,Ghana,England,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-23_panama_croatia_fifa_world_cup,2026-06-23,Croatia,Panama,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-23_panama_croatia_fifa_world_cup,2026-06-23,Panama,Croatia,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-23_portugal_uzbekistan_fifa_world_cup,2026-06-23,Portugal,Uzbekistan,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-23_portugal_uzbekistan_fifa_world_cup,2026-06-23,Uzbekistan,Portugal,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-24_bosnia_and_herzegovina_qatar_fifa_world_cup,2026-06-24,Bosnia and Herzegovina,Qatar,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-24_bosnia_and_herzegovina_qatar_fifa_world_cup,2026-06-24,Qatar,Bosnia and Herzegovina,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-24_canada_switzerland_fifa_world_cup,2026-06-24,Canada,Switzerland,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-24_canada_switzerland_fifa_world_cup,2026-06-24,Switzerland,Canada,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-24_mexico_czechia_fifa_world_cup,2026-06-24,Czechia,Mexico,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-24_mexico_czechia_fifa_world_cup,2026-06-24,Mexico,Czechia,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-24_morocco_haiti_fifa_world_cup,2026-06-24,Haiti,Morocco,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-24_morocco_haiti_fifa_world_cup,2026-06-24,Morocco,Haiti,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-24_scotland_brazil_fifa_world_cup,2026-06-24,Brazil,Scotland,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-24_scotland_brazil_fifa_world_cup,2026-06-24,Scotland,Brazil,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-24_south_africa_south_korea_fifa_world_cup,2026-06-24,South Africa,South Korea,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-24_south_africa_south_korea_fifa_world_cup,2026-06-24,South Korea,South Africa,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
soccer_international_2026-06-25_curacao_ivory_coast_fifa_world_cup,2026-06-25,Curaçao,Ivory Coast,soccer,international,FIFA World Cup,,unknown,,,,unknown,2026-06-20,,manual,
