canonical_team,alias,sport,league,country
United States,USA,soccer,international,United States
United States,United States of America,soccer,international,United States
South Korea,Korea Republic,soccer,international,South Korea
South Korea,Korea,soccer,international,South Korea
North Korea,Korea DPR,soccer,international,North Korea
Japan,Japan National Team,soccer,international,Japan
Tunisia,Tunisia National Team,soccer,international,Tunisia
Ivory Coast,Cote d'Ivoire,soccer,international,Ivory Coast
Czechia,Czech Republic,soccer,international,Czechia
Iran,Iran Islamic Republic,soccer,international,Iran
United Arab Emirates,UAE,soccer,international,United Arab Emirates
DR Congo,Democratic Republic of the Congo,soccer,international,DR Congo
Cape Verde,Cabo Verde,soccer,international,Cape Verde
Turkey,Turkiye,soccer,international,Turkey
