game_id,date,home_team,away_team,home_score,away_score,sport,league,competition_type,neutral_site
m1,2023-01-05,Iran,USA,1,3,soccer,international,qualifier,0
m2,2023-01-06,Iran,France,2,2,soccer,international,friendly,0
m3,2023-01-07,Iran,South Korea,2,2,soccer,international,league,0
m4,2023-01-08,Iran,Brazil,3,2,soccer,international,tournament,1
m5,2023-01-09,Iran,Spain,1,4,soccer,international,qualifier,0
m6,2023-01-10,Iran,Croatia,1,2,soccer,international,qualifier,0
m7,2023-01-11,Iran,Mexico,3,2,soccer,international,friendly,0
m8,2023-01-12,Iran,Argentina,2,0,soccer,international,league,0
m9,2023-01-13,Iran,Tunisia,0,2,soccer,international,tournament,1
m10,2023-01-14,Iran,Nigeria,2,1,soccer,international,qualifier,0
m11,2023-01-14,Iran,Japan,3,2,soccer,international,qualifier,0
m12,2023-01-15,USA,France,1,2,soccer,international,friendly,0
m13,2023-01-16,USA,South Korea,1,1,soccer,international,league,0
m14,2023-01-17,USA,Brazil,2,6,soccer,international,tournament,1
m15,2023-01-18,USA,Spain,1,4,soccer,international,qualifier,0
m16,2023-01-19,USA,Croatia,0,1,soccer,international,qualifier,0
m17,2023-01-20,USA,Mexico,2,4,soccer,international,friendly,0
m18,2023-01-21,USA,Argentina,2,4,soccer,international,league,0
m19,2023-01-22,USA,Tunisia,1,0,soccer,international,tournament,1
m20,2023-01-23,USA,Nigeria,1,0,soccer,international,qualifier,0
m21,2023-01-23,USA,Japan,2,3,soccer,international,qualifier,0
m22,2023-01-24,France,South Korea,3,3,soccer,international,friendly,0
m23,2023-01-25,France,Brazil,3,0,soccer,international,league,0
m24,2023-01-26,France,Spain,2,0,soccer,international,tournament,1
m25,2023-01-27,France,Croatia,1,0,soccer,international,qualifier,0
m26,2023-01-28,France,Mexico,0,2,soccer,international,qualifier,0
m27,2023-01-29,France,Argentina,1,4,soccer,international,friendly,0
m28,2023-01-30,France,Tunisia,7,0,soccer,international,league,0
m29,2023-01-31,France,Nigeria,1,1,soccer,international,tournament,1
m30,2023-02-01,France,Japan,1,1,soccer,international,qualifier,0
m31,2023-02-01,South Korea,Brazil,1,3,soccer,international,qualifier,0
m32,2023-02-02,South Korea,Spain,1,1,soccer,international,friendly,0
m33,2023-02-03,South Korea,Croatia,2,1,soccer,international,league,0
m34,2023-02-04,South Korea,Mexico,1,2,soccer,international,tournament,1
m35,2023-02-05,South Korea,Argentina,3,4,soccer,international,qualifier,0
m36,2023-02-06,South Korea,Tunisia,2,3,soccer,international,qualifier,0
m37,2023-02-07,South Korea,Nigeria,0,4,soccer,international,friendly,0
m38,2023-02-08,South Korea,Japan,1,1,soccer,international,league,0
m39,2023-02-09,Brazil,Spain,3,3,soccer,international,tournament,1
m40,2023-02-10,Brazil,Croatia,3,1,soccer,international,qualifier,0
m41,2023-02-10,Brazil,Mexico,4,1,soccer,international,qualifier,0
m42,2023-02-11,Brazil,Argentina,4,1,soccer,international,friendly,0
m43,2023-02-12,Brazil,Tunisia,2,3,soccer,international,league,0
m44,2023-02-13,Brazil,Nigeria,2,0,soccer,international,tournament,1
m45,2023-02-14,Brazil,Japan,4,3,soccer,international,qualifier,0
m46,2023-02-15,Spain,Croatia,3,2,soccer,international,qualifier,0
m47,2023-02-16,Spain,Mexico,3,0,soccer,international,friendly,0
m48,2023-02-17,Spain,Argentina,4,1,soccer,international,league,0
m49,2023-02-18,Spain,Tunisia,1,0,soccer,international,tournament,1
m50,2023-02-19,Spain,Nigeria,2,0,soccer,international,qualifier,0
m51,2023-02-19,Spain,Japan,4,1,soccer,international,qualifier,0
m52,2023-02-20,Croatia,Mexico,4,4,soccer,international,friendly,0
m53,2023-02-21,Croatia,Argentina,0,2,soccer,international,league,0
m54,2023-02-22,Croatia,Tunisia,3,1,soccer,international,tournament,1
m55,2023-02-23,Croatia,Nigeria,1,0,soccer,international,qualifier,0
m56,2023-02-24,Croatia,Japan,4,1,soccer,international,qualifier,0
m57,2023-02-25,Mexico,Argentina,1,2,soccer,international,friendly,0
m58,2023-02-26,Mexico,Tunisia,4,2,soccer,international,league,0
m59,2023-02-27,Mexico,Nigeria,1,1,soccer,international,tournament,1
m60,2023-02-28,Mexico,Japan,3,2,soccer,international,qualifier,0
m61,2023-02-28,Argentina,Tunisia,2,3,soccer,international,qualifier,0
m62,2023-03-01,Argentina,Nigeria,1,1,soccer,international,friendly,0
m63,2023-03-02,Argentina,Japan,2,0,soccer,international,league,0
m64,2023-03-03,Tunisia,Nigeria,1,2,soccer,international,tournament,1
m65,2023-03-04,Tunisia,Japan,2,2,soccer,international,qualifier,0
m66,2023-03-05,Nigeria,Japan,4,2,soccer,international,qualifier,0
m67,2023-03-06,Brazil,USA,0,1,soccer,international,friendly,0
m68,2023-03-07,Brazil,Tunisia,1,1,soccer,international,league,0
m69,2023-03-08,Brazil,Argentina,0,9,soccer,international,tournament,1
m70,2023-03-09,Brazil,France,5,2,soccer,international,qualifier,0
m71,2023-03-09,Brazil,Mexico,3,1,soccer,international,qualifier,0
m72,2023-03-10,Brazil,Croatia,3,0,soccer,international,friendly,0
m73,2023-03-11,Brazil,Iran,4,0,soccer,international,league,0
m74,2023-03-12,Brazil,Nigeria,4,3,soccer,international,tournament,1
m75,2023-03-13,Brazil,South Korea,4,1,soccer,international,qualifier,0
m76,2023-03-14,Brazil,Spain,4,3,soccer,international,qualifier,0
m77,2023-03-15,Brazil,Japan,1,1,soccer,international,friendly,0
m78,2023-03-16,USA,Tunisia,4,1,soccer,international,league,0
m79,2023-03-17,USA,Argentina,2,2,soccer,international,tournament,1
m80,2023-03-18,USA,France,3,6,soccer,international,qualifier,0
m81,2023-03-18,USA,Mexico,3,0,soccer,international,qualifier,0
m82,2023-03-19,USA,Croatia,1,3,soccer,international,friendly,0
m83,2023-03-20,USA,Iran,1,0,soccer,international,league,0
m84,2023-03-21,USA,Nigeria,3,2,soccer,international,tournament,1
m85,2023-03-22,USA,South Korea,0,0,soccer,international,qualifier,0
m86,2023-03-23,USA,Spain,0,2,soccer,international,qualifier,0
m87,2023-03-24,USA,Japan,2,2,soccer,international,friendly,0
m88,2023-03-25,Tunisia,Argentina,2,2,soccer,international,league,0
m89,2023-03-26,Tunisia,France,1,5,soccer,international,tournament,1
m90,2023-03-27,Tunisia,Mexico,2,4,soccer,international,qualifier,0
m91,2023-03-27,Tunisia,Croatia,1,2,soccer,international,qualifier,0
m92,2023-03-28,Tunisia,Iran,1,3,soccer,international,friendly,0
m93,2023-03-29,Tunisia,Nigeria,1,2,soccer,international,league,0
m94,2023-03-30,Tunisia,South Korea,2,2,soccer,international,tournament,1
m95,2023-03-31,Tunisia,Spain,1,1,soccer,international,qualifier,0
m96,2023-04-01,Tunisia,Japan,3,3,soccer,international,qualifier,0
m97,2023-04-02,Argentina,France,2,2,soccer,international,friendly,0
m98,2023-04-03,Argentina,Mexico,0,1,soccer,international,league,0
m99,2023-04-04,Argentina,Croatia,2,2,soccer,international,tournament,1
m100,2023-04-05,Argentina,Iran,1,1,soccer,international,qualifier,0
m101,2023-04-05,Argentina,Nigeria,6,0,soccer,international,qualifier,0
m102,2023-04-06,Argentina,South Korea,2,2,soccer,international,friendly,0
m103,2023-04-07,Argentina,Spain,3,1,soccer,international,league,0
m104,2023-04-08,Argentina,Japan,4,2,soccer,international,tournament,1
m105,2023-04-09,France,Mexico,4,1,soccer,international,qualifier,0
m106,2023-04-10,France,Croatia,3,3,soccer,international,qualifier,0
m107,2023-04-11,France,Iran,4,0,soccer,international,friendly,0
m108,2023-04-12,France,Nigeria,1,0,soccer,international,league,0
m109,2023-04-13,France,South Korea,1,2,soccer,international,tournament,1
m110,2023-04-14,France,Spain,1,0,soccer,international,qualifier,0
m111,2023-04-14,France,Japan,2,0,soccer,international,qualifier,0
m112,2023-04-15,Mexico,Croatia,4,0,soccer,international,friendly,0
m113,2023-04-16,Mexico,Iran,2,0,soccer,international,league,0
m114,2023-04-17,Mexico,Nigeria,4,3,soccer,international,tournament,1
m115,2023-04-18,Mexico,South Korea,0,1,soccer,international,qualifier,0
m116,2023-04-19,Mexico,Spain,2,3,soccer,international,qualifier,0
m117,2023-04-20,Mexico,Japan,3,1,soccer,international,friendly,0
m118,2023-04-21,Croatia,Iran,0,1,soccer,international,league,0
m119,2023-04-22,Croatia,Nigeria,1,4,soccer,international,tournament,1
m120,2023-04-23,Croatia,South Korea,2,2,soccer,international,qualifier,0
m121,2023-04-23,Croatia,Spain,1,4,soccer,international,qualifier,0
m122,2023-04-24,Croatia,Japan,1,3,soccer,international,friendly,0
m123,2023-04-25,Iran,Nigeria,2,3,soccer,international,league,0
m124,2023-04-26,Iran,South Korea,2,1,soccer,international,tournament,1
m125,2023-04-27,Iran,Spain,4,1,soccer,international,qualifier,0
m126,2023-04-28,Iran,Japan,0,2,soccer,international,qualifier,0
m127,2023-04-29,Nigeria,South Korea,3,1,soccer,international,friendly,0
m128,2023-04-30,Nigeria,Spain,3,2,soccer,international,league,0
m129,2023-05-01,Nigeria,Japan,1,1,soccer,international,tournament,1
m130,2023-05-02,South Korea,Spain,2,1,soccer,international,qualifier,0
m131,2023-05-02,South Korea,Japan,3,0,soccer,international,qualifier,0
m132,2023-05-03,Spain,Japan,3,1,soccer,international,friendly,0
m133,2023-05-04,Tunisia,Spain,2,0,soccer,international,league,0
m134,2023-05-05,Tunisia,France,1,2,soccer,international,tournament,1
m135,2023-05-06,Tunisia,Croatia,1,2,soccer,international,qualifier,0
m136,2023-05-07,Tunisia,USA,0,0,soccer,international,qualifier,0
m137,2023-05-08,Tunisia,Mexico,1,3,soccer,international,friendly,0
m138,2023-05-09,Tunisia,South Korea,2,3,soccer,international,league,0
m139,2023-05-10,Tunisia,Argentina,2,3,soccer,international,tournament,1
m140,2023-05-11,Tunisia,Iran,0,2,soccer,international,qualifier,0
m141,2023-05-11,Tunisia,Brazil,4,1,soccer,international,qualifier,0
m142,2023-05-12,Tunisia,Japan,2,0,soccer,international,friendly,0
m143,2023-05-13,Tunisia,Nigeria,1,2,soccer,international,league,0
m144,2023-05-14,Spain,France,2,4,soccer,international,tournament,1
m145,2023-05-15,Spain,Croatia,3,7,soccer,international,qualifier,0
m146,2023-05-16,Spain,USA,5,1,soccer,international,qualifier,0
m147,2023-05-17,Spain,Mexico,5,2,soccer,international,friendly,0
m148,2023-05-18,Spain,South Korea,5,2,soccer,international,league,0
m149,2023-05-19,Spain,Argentina,3,0,soccer,international,tournament,1
m150,2023-05-20,Spain,Iran,3,1,soccer,international,qualifier,0
m151,2023-05-20,Spain,Brazil,5,1,soccer,international,qualifier,0
m152,2023-05-21,Spain,Japan,6,4,soccer,international,friendly,0
m153,2023-05-22,Spain,Nigeria,2,3,soccer,international,league,0
m154,2023-05-23,France,Croatia,3,0,soccer,international,tournament,1
m155,2023-05-24,France,USA,2,1,soccer,international,qualifier,0
m156,2023-05-25,France,Mexico,3,1,soccer,international,qualifier,0
m157,2023-05-26,France,South Korea,1,0,soccer,international,friendly,0
m158,2023-05-27,France,Argentina,2,5,soccer,international,league,0
m159,2023-05-28,France,Iran,2,1,soccer,international,tournament,1
m160,2023-05-29,France,Brazil,5,6,soccer,international,qualifier,0
m161,2023-05-29,France,Japan,3,2,soccer,international,qualifier,0
