source,sport,league,game_date,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds,outcome_available,game_odds_available,prop_odds_available,closing_available,canonical_game_key
retrosheet,baseball,MLB,1960-04-12,CIN,PHI,9,4,,,,True,False,False,False,baseball|MLB|1960-04-12|CIN|PHI
retrosheet,baseball,MLB,1960-04-12,LAN,CHN,3,2,,,,True,False,False,False,baseball|MLB|1960-04-12|LAN|CHN
retrosheet,baseball,MLB,1960-04-12,MLN,PIT,4,3,,,,True,False,False,False,baseball|MLB|1960-04-12|MLN|PIT
retrosheet,baseball,MLB,1960-04-12,SFN,SLN,3,1,,,,True,False,False,False,baseball|MLB|1960-04-12|SFN|SLN
retrosheet,baseball,MLB,1960-04-13,LAN,CHN,0,4,,,,True,False,False,False,baseball|MLB|1960-04-13|LAN|CHN
retrosheet,baseball,MLB,1960-04-13,SFN,SLN,6,1,,,,True,False,False,False,baseball|MLB|1960-04-13|SFN|SLN
retrosheet,baseball,MLB,1960-04-14,LAN,SLN,3,2,,,,True,False,False,False,baseball|MLB|1960-04-14|LAN|SLN
retrosheet,baseball,MLB,1960-04-14,PHI,MLN,5,4,,,,True,False,False,False,baseball|MLB|1960-04-14|PHI|MLN
retrosheet,baseball,MLB,1960-04-14,PIT,CIN,13,0,,,,True,False,False,False,baseball|MLB|1960-04-14|PIT|CIN
retrosheet,baseball,MLB,1960-04-14,SFN,CHN,5,6,,,,True,False,False,False,baseball|MLB|1960-04-14|SFN|CHN
retrosheet,baseball,MLB,1960-04-16,LAN,SLN,3,2,,,,True,False,False,False,baseball|MLB|1960-04-16|LAN|SLN
retrosheet,baseball,MLB,1960-04-16,PHI,MLN,3,13,,,,True,False,False,False,baseball|MLB|1960-04-16|PHI|MLN
retrosheet,baseball,MLB,1960-04-16,PIT,CIN,3,11,,,,True,False,False,False,baseball|MLB|1960-04-16|PIT|CIN
retrosheet,baseball,MLB,1960-04-16,SFN,CHN,6,1,,,,True,False,False,False,baseball|MLB|1960-04-16|SFN|CHN
retrosheet,baseball,MLB,1960-04-17,LAN,SLN,7,5,,,,True,False,False,False,baseball|MLB|1960-04-17|LAN|SLN
retrosheet,baseball,MLB,1960-04-17,PHI,MLN,4,8,,,,True,False,False,False,baseball|MLB|1960-04-17|PHI|MLN
retrosheet,baseball,MLB,1960-04-17,PIT,CIN,5,0,,,,True,False,False,False,baseball|MLB|1960-04-17|PIT|CIN
retrosheet,baseball,MLB,1960-04-17,PIT,CIN,6,5,,,,True,False,False,False,baseball|MLB|1960-04-17|PIT|CIN
retrosheet,baseball,MLB,1960-04-17,SFN,CHN,4,3,,,,True,False,False,False,baseball|MLB|1960-04-17|SFN|CHN
retrosheet,baseball,MLB,1960-04-18,WS1,BOS,10,1,,,,True,False,False,False,baseball|MLB|1960-04-18|WS1|BOS
retrosheet,baseball,MLB,1960-04-19,BAL,WS1,3,2,,,,True,False,False,False,baseball|MLB|1960-04-19|BAL|WS1
retrosheet,baseball,MLB,1960-04-19,BOS,NYA,4,8,,,,True,False,False,False,baseball|MLB|1960-04-19|BOS|NYA
retrosheet,baseball,MLB,1960-04-19,CHA,KC1,10,9,,,,True,False,False,False,baseball|MLB|1960-04-19|CHA|KC1
retrosheet,baseball,MLB,1960-04-19,CLE,DET,2,4,,,,True,False,False,False,baseball|MLB|1960-04-19|CLE|DET
retrosheet,baseball,MLB,1960-04-19,PIT,PHI,3,4,,,,True,False,False,False,baseball|MLB|1960-04-19|PIT|PHI
retrosheet,baseball,MLB,1960-04-19,SFN,LAN,0,4,,,,True,False,False,False,baseball|MLB|1960-04-19|SFN|LAN
retrosheet,baseball,MLB,1960-04-19,SLN,CHN,5,2,,,,True,False,False,False,baseball|MLB|1960-04-19|SLN|CHN
retrosheet,baseball,MLB,1960-04-20,BAL,WS1,7,8,,,,True,False,False,False,baseball|MLB|1960-04-20|BAL|WS1
retrosheet,baseball,MLB,1960-04-20,BOS,NYA,7,1,,,,True,False,False,False,baseball|MLB|1960-04-20|BOS|NYA
retrosheet,baseball,MLB,1960-04-20,CLE,DET,4,6,,,,True,False,False,False,baseball|MLB|1960-04-20|CLE|DET
retrosheet,baseball,MLB,1960-04-20,MLN,CIN,5,10,,,,True,False,False,False,baseball|MLB|1960-04-20|MLN|CIN
retrosheet,baseball,MLB,1960-04-20,PIT,PHI,4,2,,,,True,False,False,False,baseball|MLB|1960-04-20|PIT|PHI
retrosheet,baseball,MLB,1960-04-20,SFN,LAN,1,0,,,,True,False,False,False,baseball|MLB|1960-04-20|SFN|LAN
retrosheet,baseball,MLB,1960-04-21,BAL,WS1,5,6,,,,True,False,False,False,baseball|MLB|1960-04-21|BAL|WS1
retrosheet,baseball,MLB,1960-04-21,BOS,NYA,0,4,,,,True,False,False,False,baseball|MLB|1960-04-21|BOS|NYA
retrosheet,baseball,MLB,1960-04-21,CHA,KC1,6,5,,,,True,False,False,False,baseball|MLB|1960-04-21|CHA|KC1
retrosheet,baseball,MLB,1960-04-21,MLN,CIN,2,0,,,,True,False,False,False,baseball|MLB|1960-04-21|MLN|CIN
retrosheet,baseball,MLB,1960-04-21,PIT,PHI,11,5,,,,True,False,False,False,baseball|MLB|1960-04-21|PIT|PHI
retrosheet,baseball,MLB,1960-04-22,DET,CHA,6,5,,,,True,False,False,False,baseball|MLB|1960-04-22|DET|CHA
retrosheet,baseball,MLB,1960-04-22,KC1,CLE,4,1,,,,True,False,False,False,baseball|MLB|1960-04-22|KC1|CLE
retrosheet,baseball,MLB,1960-04-22,NYA,BAL,5,0,,,,True,False,False,False,baseball|MLB|1960-04-22|NYA|BAL
retrosheet,baseball,MLB,1960-04-22,WS1,BOS,4,5,,,,True,False,False,False,baseball|MLB|1960-04-22|WS1|BOS
retrosheet,baseball,MLB,1960-04-22,CHN,SFN,8,10,,,,True,False,False,False,baseball|MLB|1960-04-22|CHN|SFN
retrosheet,baseball,MLB,1960-04-22,PHI,CIN,10,7,,,,True,False,False,False,baseball|MLB|1960-04-22|PHI|CIN
retrosheet,baseball,MLB,1960-04-22,PIT,MLN,6,2,,,,True,False,False,False,baseball|MLB|1960-04-22|PIT|MLN
retrosheet,baseball,MLB,1960-04-22,SLN,LAN,11,7,,,,True,False,False,False,baseball|MLB|1960-04-22|SLN|LAN
retrosheet,baseball,MLB,1960-04-23,DET,CHA,6,2,,,,True,False,False,False,baseball|MLB|1960-04-23|DET|CHA
retrosheet,baseball,MLB,1960-04-23,KC1,CLE,6,5,,,,True,False,False,False,baseball|MLB|1960-04-23|KC1|CLE
retrosheet,baseball,MLB,1960-04-23,NYA,BAL,3,2,,,,True,False,False,False,baseball|MLB|1960-04-23|NYA|BAL
retrosheet,baseball,MLB,1960-04-23,WS1,BOS,3,8,,,,True,False,False,False,baseball|MLB|1960-04-23|WS1|BOS
retrosheet,baseball,MLB,1960-04-23,CHN,SFN,2,18,,,,True,False,False,False,baseball|MLB|1960-04-23|CHN|SFN
retrosheet,baseball,MLB,1960-04-23,PHI,CIN,3,2,,,,True,False,False,False,baseball|MLB|1960-04-23|PHI|CIN
retrosheet,baseball,MLB,1960-04-23,PIT,MLN,5,4,,,,True,False,False,False,baseball|MLB|1960-04-23|PIT|MLN
retrosheet,baseball,MLB,1960-04-23,SLN,LAN,9,5,,,,True,False,False,False,baseball|MLB|1960-04-23|SLN|LAN
retrosheet,baseball,MLB,1960-04-24,DET,CHA,12,4,,,,True,False,False,False,baseball|MLB|1960-04-24|DET|CHA
retrosheet,baseball,MLB,1960-04-24,KC1,CLE,0,7,,,,True,False,False,False,baseball|MLB|1960-04-24|KC1|CLE
retrosheet,baseball,MLB,1960-04-24,NYA,BAL,15,9,,,,True,False,False,False,baseball|MLB|1960-04-24|NYA|BAL
retrosheet,baseball,MLB,1960-04-24,WS1,BOS,11,10,,,,True,False,False,False,baseball|MLB|1960-04-24|WS1|BOS
retrosheet,baseball,MLB,1960-04-24,CHN,SFN,9,4,,,,True,False,False,False,baseball|MLB|1960-04-24|CHN|SFN
retrosheet,baseball,MLB,1960-04-24,PHI,CIN,9,5,,,,True,False,False,False,baseball|MLB|1960-04-24|PHI|CIN
retrosheet,baseball,MLB,1960-04-24,PHI,CIN,4,10,,,,True,False,False,False,baseball|MLB|1960-04-24|PHI|CIN
retrosheet,baseball,MLB,1960-04-24,PIT,MLN,7,3,,,,True,False,False,False,baseball|MLB|1960-04-24|PIT|MLN
retrosheet,baseball,MLB,1960-04-24,SLN,LAN,7,2,,,,True,False,False,False,baseball|MLB|1960-04-24|SLN|LAN
retrosheet,baseball,MLB,1960-04-25,KC1,CHA,6,1,,,,True,False,False,False,baseball|MLB|1960-04-25|KC1|CHA
retrosheet,baseball,MLB,1960-04-25,WS1,BAL,2,3,,,,True,False,False,False,baseball|MLB|1960-04-25|WS1|BAL
retrosheet,baseball,MLB,1960-04-25,SLN,SFN,8,9,,,,True,False,False,False,baseball|MLB|1960-04-25|SLN|SFN
retrosheet,baseball,MLB,1960-04-26,DET,CLE,1,2,,,,True,False,False,False,baseball|MLB|1960-04-26|DET|CLE
retrosheet,baseball,MLB,1960-04-26,KC1,CHA,0,8,,,,True,False,False,False,baseball|MLB|1960-04-26|KC1|CHA
retrosheet,baseball,MLB,1960-04-26,NYA,BOS,5,7,,,,True,False,False,False,baseball|MLB|1960-04-26|NYA|BOS
retrosheet,baseball,MLB,1960-04-26,WS1,BAL,10,11,,,,True,False,False,False,baseball|MLB|1960-04-26|WS1|BAL
retrosheet,baseball,MLB,1960-04-26,CHN,LAN,1,8,,,,True,False,False,False,baseball|MLB|1960-04-26|CHN|LAN
retrosheet,baseball,MLB,1960-04-26,CIN,MLN,3,4,,,,True,False,False,False,baseball|MLB|1960-04-26|CIN|MLN
retrosheet,baseball,MLB,1960-04-26,SLN,SFN,4,2,,,,True,False,False,False,baseball|MLB|1960-04-26|SLN|SFN
retrosheet,baseball,MLB,1960-04-27,BAL,BOS,8,3,,,,True,False,False,False,baseball|MLB|1960-04-27|BAL|BOS
retrosheet,baseball,MLB,1960-04-27,KC1,DET,3,1,,,,True,False,False,False,baseball|MLB|1960-04-27|KC1|DET
retrosheet,baseball,MLB,1960-04-27,NYA,WS1,4,5,,,,True,False,False,False,baseball|MLB|1960-04-27|NYA|WS1
retrosheet,baseball,MLB,1960-04-27,CHN,LAN,4,9,,,,True,False,False,False,baseball|MLB|1960-04-27|CHN|LAN
retrosheet,baseball,MLB,1960-04-27,CIN,MLN,5,8,,,,True,False,False,False,baseball|MLB|1960-04-27|CIN|MLN
retrosheet,baseball,MLB,1960-04-27,PHI,PIT,2,3,,,,True,False,False,False,baseball|MLB|1960-04-27|PHI|PIT
retrosheet,baseball,MLB,1960-04-28,BAL,BOS,6,1,,,,True,False,False,False,baseball|MLB|1960-04-28|BAL|BOS
retrosheet,baseball,MLB,1960-04-28,CHA,CLE,3,1,,,,True,False,False,False,baseball|MLB|1960-04-28|CHA|CLE
retrosheet,baseball,MLB,1960-04-28,KC1,DET,2,1,,,,True,False,False,False,baseball|MLB|1960-04-28|KC1|DET
retrosheet,baseball,MLB,1960-04-28,LAN,SFN,5,7,,,,True,False,False,False,baseball|MLB|1960-04-28|LAN|SFN
retrosheet,baseball,MLB,1960-04-28,PHI,PIT,0,3,,,,True,False,False,False,baseball|MLB|1960-04-28|PHI|PIT
retrosheet,baseball,MLB,1960-04-29,BAL,NYA,2,1,,,,True,False,False,False,baseball|MLB|1960-04-29|BAL|NYA
retrosheet,baseball,MLB,1960-04-29,CHA,DET,3,1,,,,True,False,False,False,baseball|MLB|1960-04-29|CHA|DET
retrosheet,baseball,MLB,1960-04-29,CLE,KC1,5,4,,,,True,False,False,False,baseball|MLB|1960-04-29|CLE|KC1
retrosheet,baseball,MLB,1960-04-29,LAN,SFN,10,2,,,,True,False,False,False,baseball|MLB|1960-04-29|LAN|SFN
