source,sport,league,game_date,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds,outcome_available,game_odds_available,prop_odds_available,closing_available,canonical_game_key
world_cup_results,soccer,WORLD_CUP,1930-07-13,Belgium,United States,0.0,3.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-13|BELGIUM|UNITEDSTATES
world_cup_results,soccer,WORLD_CUP,1930-07-13,France,Mexico,4.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-13|FRANCE|MEXICO
world_cup_results,soccer,WORLD_CUP,1930-07-14,Brazil,Yugoslavia,1.0,2.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-14|BRAZIL|YUGOSLAVIA
world_cup_results,soccer,WORLD_CUP,1930-07-14,Peru,Romania,1.0,3.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-14|PERU|ROMANIA
world_cup_results,soccer,WORLD_CUP,1930-07-15,Argentina,France,1.0,0.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-15|ARGENTINA|FRANCE
world_cup_results,soccer,WORLD_CUP,1930-07-16,Chile,Mexico,3.0,0.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-16|CHILE|MEXICO
world_cup_results,soccer,WORLD_CUP,1930-07-17,Bolivia,Yugoslavia,0.0,4.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-17|BOLIVIA|YUGOSLAVIA
world_cup_results,soccer,WORLD_CUP,1930-07-17,Paraguay,United States,0.0,3.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-17|PARAGUAY|UNITEDSTATES
world_cup_results,soccer,WORLD_CUP,1930-07-18,Uruguay,Peru,1.0,0.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-18|URUGUAY|PERU
world_cup_results,soccer,WORLD_CUP,1930-07-19,Argentina,Mexico,6.0,3.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-19|ARGENTINA|MEXICO
world_cup_results,soccer,WORLD_CUP,1930-07-19,Chile,France,1.0,0.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-19|CHILE|FRANCE
world_cup_results,soccer,WORLD_CUP,1930-07-20,Belgium,Paraguay,0.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-20|BELGIUM|PARAGUAY
world_cup_results,soccer,WORLD_CUP,1930-07-20,Bolivia,Brazil,0.0,4.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-20|BOLIVIA|BRAZIL
world_cup_results,soccer,WORLD_CUP,1930-07-21,Uruguay,Romania,4.0,0.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-21|URUGUAY|ROMANIA
world_cup_results,soccer,WORLD_CUP,1930-07-22,Argentina,Chile,3.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-22|ARGENTINA|CHILE
world_cup_results,soccer,WORLD_CUP,1930-07-26,Argentina,United States,6.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-26|ARGENTINA|UNITEDSTATES
world_cup_results,soccer,WORLD_CUP,1930-07-27,Uruguay,Yugoslavia,6.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-27|URUGUAY|YUGOSLAVIA
world_cup_results,soccer,WORLD_CUP,1930-07-30,Uruguay,Argentina,4.0,2.0,,,,True,False,False,False,soccer|WORLDCUP|1930-07-30|URUGUAY|ARGENTINA
world_cup_results,soccer,WORLD_CUP,1934-05-27,Argentina,Sweden,2.0,3.0,,,,True,False,False,False,soccer|WORLDCUP|1934-05-27|ARGENTINA|SWEDEN
world_cup_results,soccer,WORLD_CUP,1934-05-27,Austria,France,3.0,2.0,,,,True,False,False,False,soccer|WORLDCUP|1934-05-27|AUSTRIA|FRANCE
world_cup_results,soccer,WORLD_CUP,1934-05-27,Belgium,Germany,2.0,5.0,,,,True,False,False,False,soccer|WORLDCUP|1934-05-27|BELGIUM|GERMANY
world_cup_results,soccer,WORLD_CUP,1934-05-27,Brazil,Spain,1.0,3.0,,,,True,False,False,False,soccer|WORLDCUP|1934-05-27|BRAZIL|SPAIN
world_cup_results,soccer,WORLD_CUP,1934-05-27,Czechoslovakia,Romania,2.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1934-05-27|CZECHOSLOVAKIA|ROMANIA
world_cup_results,soccer,WORLD_CUP,1934-05-27,Egypt,Hungary,2.0,4.0,,,,True,False,False,False,soccer|WORLDCUP|1934-05-27|EGYPT|HUNGARY
world_cup_results,soccer,WORLD_CUP,1934-05-27,Italy,United States,7.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1934-05-27|ITALY|UNITEDSTATES
world_cup_results,soccer,WORLD_CUP,1934-05-27,Netherlands,Switzerland,2.0,3.0,,,,True,False,False,False,soccer|WORLDCUP|1934-05-27|NETHERLANDS|SWITZERLAND
world_cup_results,soccer,WORLD_CUP,1934-05-31,Austria,Hungary,2.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1934-05-31|AUSTRIA|HUNGARY
world_cup_results,soccer,WORLD_CUP,1934-05-31,Czechoslovakia,Switzerland,3.0,2.0,,,,True,False,False,False,soccer|WORLDCUP|1934-05-31|CZECHOSLOVAKIA|SWITZERLAND
world_cup_results,soccer,WORLD_CUP,1934-05-31,Germany,Sweden,2.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1934-05-31|GERMANY|SWEDEN
world_cup_results,soccer,WORLD_CUP,1934-05-31,Italy,Spain,1.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1934-05-31|ITALY|SPAIN
world_cup_results,soccer,WORLD_CUP,1934-06-01,Italy,Spain,1.0,0.0,,,,True,False,False,False,soccer|WORLDCUP|1934-06-01|ITALY|SPAIN
world_cup_results,soccer,WORLD_CUP,1934-06-03,Czechoslovakia,Germany,3.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1934-06-03|CZECHOSLOVAKIA|GERMANY
world_cup_results,soccer,WORLD_CUP,1934-06-03,Italy,Austria,1.0,0.0,,,,True,False,False,False,soccer|WORLDCUP|1934-06-03|ITALY|AUSTRIA
world_cup_results,soccer,WORLD_CUP,1934-06-07,Austria,Germany,2.0,3.0,,,,True,False,False,False,soccer|WORLDCUP|1934-06-07|AUSTRIA|GERMANY
world_cup_results,soccer,WORLD_CUP,1934-06-10,Italy,Czechoslovakia,2.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1934-06-10|ITALY|CZECHOSLOVAKIA
world_cup_results,soccer,WORLD_CUP,1938-06-04,Germany,Switzerland,1.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-04|GERMANY|SWITZERLAND
world_cup_results,soccer,WORLD_CUP,1938-06-05,Brazil,Poland,6.0,5.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-05|BRAZIL|POLAND
world_cup_results,soccer,WORLD_CUP,1938-06-05,Cuba,Romania,3.0,3.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-05|CUBA|ROMANIA
world_cup_results,soccer,WORLD_CUP,1938-06-05,Czechoslovakia,Netherlands,3.0,0.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-05|CZECHOSLOVAKIA|NETHERLANDS
world_cup_results,soccer,WORLD_CUP,1938-06-05,France,Belgium,3.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-05|FRANCE|BELGIUM
world_cup_results,soccer,WORLD_CUP,1938-06-05,Hungary,Indonesia,6.0,0.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-05|HUNGARY|INDONESIA
world_cup_results,soccer,WORLD_CUP,1938-06-05,Italy,Norway,2.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-05|ITALY|NORWAY
world_cup_results,soccer,WORLD_CUP,1938-06-09,Cuba,Romania,2.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-09|CUBA|ROMANIA
world_cup_results,soccer,WORLD_CUP,1938-06-09,Germany,Switzerland,2.0,4.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-09|GERMANY|SWITZERLAND
world_cup_results,soccer,WORLD_CUP,1938-06-12,Brazil,Czechoslovakia,1.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-12|BRAZIL|CZECHOSLOVAKIA
world_cup_results,soccer,WORLD_CUP,1938-06-12,Cuba,Sweden,0.0,8.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-12|CUBA|SWEDEN
world_cup_results,soccer,WORLD_CUP,1938-06-12,France,Italy,1.0,3.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-12|FRANCE|ITALY
world_cup_results,soccer,WORLD_CUP,1938-06-12,Hungary,Switzerland,2.0,0.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-12|HUNGARY|SWITZERLAND
world_cup_results,soccer,WORLD_CUP,1938-06-14,Brazil,Czechoslovakia,2.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-14|BRAZIL|CZECHOSLOVAKIA
world_cup_results,soccer,WORLD_CUP,1938-06-16,Brazil,Italy,1.0,2.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-16|BRAZIL|ITALY
world_cup_results,soccer,WORLD_CUP,1938-06-16,Hungary,Sweden,5.0,1.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-16|HUNGARY|SWEDEN
world_cup_results,soccer,WORLD_CUP,1938-06-19,Brazil,Sweden,4.0,2.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-19|BRAZIL|SWEDEN
world_cup_results,soccer,WORLD_CUP,1938-06-19,Hungary,Italy,2.0,4.0,,,,True,False,False,False,soccer|WORLDCUP|1938-06-19|HUNGARY|ITALY
world_cup_results,soccer,WORLD_CUP,1950-06-24,Brazil,Mexico,4.0,0.0,,,,True,False,False,False,soccer|WORLDCUP|1950-06-24|BRAZIL|MEXICO
