group_type,group,games,model_log_loss,sportsbook_log_loss,model_brier,sportsbook_brier,model_minus_sportsbook_log_loss,roi_if_betting_model_edges
edge_bucket,"(-0.01, 0.01]",69,0.6527211084229025,0.6520810393822747,0.23036261800316324,0.23012316137407104,0.0006400690406278553,
edge_bucket,"(-0.03, -0.01]",76,0.618749829363421,0.6115977992452768,0.2148534176168979,0.2117634287383742,0.007152030118144248,-0.29290382819794586
edge_bucket,"(-0.05, -0.03]",56,0.6349343112407132,0.6275317808301478,0.22243074776102698,0.21915152266584537,0.007402530410565378,-0.042767384731670466
edge_bucket,"(-0.07, -0.05]",77,0.7391282382886062,0.7941100486737372,0.26921734361704047,0.29046698650935276,-0.05498181038513106,0.7652666658731051
edge_bucket,"(-0.1, -0.07]",107,0.5973912720129295,0.5845238757976184,0.205984207960727,0.2014241176631207,0.012867396215311078,0.006708339186708515
edge_bucket,"(-1.001, -0.1]",270,0.5885292260401997,0.5054603065191045,0.20044417581702487,0.1648063431366291,0.0830689195210953,-0.08838654099523664
edge_bucket,"(0.01, 0.03]",62,0.6755483224193141,0.6741289923054017,0.24025413175700436,0.2399630038448471,0.001419330113912376,0.07907834330460008
edge_bucket,"(0.03, 0.05]",78,0.6812224300810684,0.6692635293238868,0.24217400286174054,0.23747503704985823,0.011958900757181645,-0.1000720736823376
edge_bucket,"(0.05, 0.07]",63,0.6664861422595107,0.6597733101280062,0.23684919009095612,0.23387016713326794,0.006712832131504531,-0.01178781314662623
edge_bucket,"(0.07, 0.1]",86,0.6847677146825496,0.687667967349016,0.24452875997465334,0.24660054477169877,-0.0029002526664664297,0.13116342388245208
edge_bucket,"(0.1, 1.0]",286,0.7031086466220168,0.5675179022961327,0.2537654849933232,0.19170139868400268,0.13559074432588403,-0.22970783992239202
