market_ticker,market_title,game_date,home_team,away_team,yes_team,no_team,yes_means_home_team_wins,yes_means_away_team_wins,market_title_parsing_available,team_names_match_nba_game,mapping_confidence,mapping_warning
KXNBAGAME-25OCT21GSWLAL-LAL,Golden State vs Los Angeles L Winner?,2025-10-21,LAL,GSW,LAL,GSW,True,False,True,True,high,
KXNBAGAME-25OCT21HOUOKC-OKC,Houston vs Oklahoma City Winner?,2025-10-21,OKC,HOU,OKC,HOU,True,False,True,True,high,
KXNBAGAME-25OCT22BKNCHA-CHA,Brooklyn vs Charlotte Winner?,2025-10-22,CHA,BKN,CHA,BKN,True,False,True,True,high,
KXNBAGAME-25OCT22CLENYK-NYK,Cleveland vs New York Winner?,2025-10-22,NYK,CLE,NYK,CLE,True,False,True,True,high,
KXNBAGAME-25OCT22DETCHI-CHI,Detroit vs Chicago Winner?,2025-10-22,CHI,DET,CHI,DET,True,False,True,True,high,
KXNBAGAME-25OCT22LACUTA-UTA,Los Angeles C vs Utah Winner?,2025-10-22,UTA,LAC,UTA,LAC,True,False,True,True,high,
KXNBAGAME-25OCT22MIAORL-ORL,Miami vs Orlando Winner?,2025-10-22,ORL,MIA,ORL,MIA,True,False,True,True,high,
KXNBAGAME-25OCT22MINPOR-POR,Minnesota vs Portland Winner?,2025-10-22,POR,MIN,POR,MIN,True,False,True,True,high,
KXNBAGAME-25OCT22NOPMEM-MEM,New Orleans vs Memphis Winner?,2025-10-22,MEM,NOP,MEM,NOP,True,False,True,True,high,
KXNBAGAME-25OCT22PHIBOS-BOS,Philadelphia vs Boston Winner?,2025-10-22,BOS,PHI,BOS,PHI,True,False,True,True,high,
KXNBAGAME-25OCT22SACPHX-PHX,Sacramento vs Phoenix Winner?,2025-10-22,PHX,SAC,PHX,SAC,True,False,True,True,high,
KXNBAGAME-25OCT22SASDAL-DAL,San Antonio vs Dallas Winner?,2025-10-22,DAL,SAS,DAL,SAS,True,False,True,True,high,
KXNBAGAME-25OCT22TORATL-ATL,Toronto vs Atlanta Winner?,2025-10-22,ATL,TOR,ATL,TOR,True,False,True,True,high,
KXNBAGAME-25OCT22WASMIL-MIL,Washington vs Milwaukee Winner?,2025-10-22,MIL,WAS,MIL,WAS,True,False,True,True,high,
KXNBAGAME-25OCT23DENGSW-GSW,Denver vs Golden State Winner?,2025-10-23,GSW,DEN,GSW,DEN,True,False,True,True,high,
KXNBAGAME-25OCT23OKCIND-IND,Oklahoma City vs Indiana Winner?,2025-10-23,IND,OKC,IND,OKC,True,False,True,True,high,
KXNBAGAME-25OCT24ATLORL-ORL,Atlanta vs Orlando Winner?,2025-10-24,ORL,ATL,ORL,ATL,True,False,True,True,high,
KXNBAGAME-25OCT24BOSNYK-NYK,Boston vs New York Winner?,2025-10-24,NYK,BOS,NYK,BOS,True,False,True,True,high,
KXNBAGAME-25OCT24CLEBKN-BKN,Cleveland vs Brooklyn Winner?,2025-10-24,BKN,CLE,BKN,CLE,True,False,True,True,high,
KXNBAGAME-25OCT24DETHOU-HOU,Detroit vs Houston Winner?,2025-10-24,HOU,DET,HOU,DET,True,False,True,True,high,
KXNBAGAME-25OCT24GSWPOR-POR,Golden State vs Portland Winner?,2025-10-24,POR,GSW,POR,GSW,True,False,True,True,high,
KXNBAGAME-25OCT24MIAMEM-MEM,Miami vs Memphis Winner?,2025-10-24,MEM,MIA,MEM,MIA,True,False,True,True,high,
KXNBAGAME-25OCT24MILTOR-TOR,Milwaukee vs Toronto Winner?,2025-10-24,TOR,MIL,TOR,MIL,True,False,True,True,high,
KXNBAGAME-25OCT24MINLAL-LAL,Minnesota vs Los Angeles L Winner?,2025-10-24,LAL,MIN,LAL,MIN,True,False,True,True,high,
