group_type,group_value,trades,wins,losses,average_edge,roi,profit_loss
edge_bucket,3-5%,134,53,81,0.04021365994404194,-0.058911374258198625,-7.894124150598616
edge_bucket,10%+,2588,704,1884,0.1792466743348915,-0.05831975864351605,-150.93153536941955
edge_bucket,5-7%,204,86,118,0.060613915519479776,0.037950350172497586,7.741871435189507
edge_bucket,7-10%,507,177,330,0.08448926185105944,0.04106495957043631,20.819934502211208
favorite_vs_underdog,favorite,301,163,138,0.09189076396002412,-0.06405373437193329,-19.28017404595192
favorite_vs_underdog,underdog,3132,857,2275,0.158627457913057,-0.0354354021509149,-110.98367953666548
home_vs_away,home,1693,583,1110,0.16281916554387724,-0.04256535577934748,-72.06314733443529
home_vs_away,away,1740,437,1303,0.143004293603378,-0.033448681751828836,-58.20070624818217
mapping_confidence,high,3433,1020,2413,0.1527760903395461,-0.03794461217087606,-130.26385358261751
minutes_before_tipoff_bucket,60m-4h,58,10,48,0.1472120842103844,-0.2640924556696984,-15.317362428842507
minutes_before_tipoff_bucket,5-30m,419,94,325,0.1515323339608455,-0.18639968955249397,-78.10146992249497
minutes_before_tipoff_bucket,0-5m,140,34,106,0.1589792352959441,-0.12547538357175714,-17.566553700046
minutes_before_tipoff_bucket,30-60m,2816,882,1934,0.15276735666918786,-0.006846046708534786,-19.278467531233957
price_bucket,0-20%,1086,145,941,0.18035827811940874,-0.1514168797985058,-164.4387314611773
price_bucket,20-40%,1569,479,1090,0.15282776826925284,0.006202741832169557,9.732101934674034
price_bucket,40-60%,701,341,360,0.11846697748423851,0.024406754115046805,17.10913463464781
price_bucket,60-80%,77,55,22,0.07505335671526023,0.0952420949251682,7.333641309237952
yes_side_vs_no_side,YES,1693,583,1110,0.16281916554387724,-0.04256535577934748,-72.06314733443529
yes_side_vs_no_side,NO,1740,437,1303,0.143004293603378,-0.033448681751828836,-58.20070624818217
