min_edge,min_contract_price,max_contract_price,timing_filter,side_filter,favorite_filter,home_away_filter,trades,wins,losses,win_rate,average_edge,average_price,profit_loss_per_dollar_staked,roi,max_drawdown,meets_min_discovery_trades,positive_discovery_roi,specificity_score
0.15,0.0,0.7,within_30m,yes_only,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,5
0.15,0.0,0.7,within_30m,yes_only,underdogs_only,both,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.0,0.7,within_30m,both,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.0,0.8,within_30m,yes_only,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,5
0.15,0.0,0.8,within_30m,yes_only,underdogs_only,both,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.0,0.8,within_30m,both,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.0,0.9,within_30m,yes_only,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,5
0.15,0.0,0.9,within_30m,yes_only,underdogs_only,both,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.0,0.9,within_30m,both,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.0,1.0,within_30m,yes_only,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,5
0.15,0.0,1.0,within_30m,yes_only,underdogs_only,both,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.0,1.0,within_30m,both,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.1,0.7,within_30m,yes_only,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,5
0.15,0.1,0.7,within_30m,yes_only,underdogs_only,both,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.1,0.7,within_30m,both,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.1,0.8,within_30m,yes_only,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,5
0.15,0.1,0.8,within_30m,yes_only,underdogs_only,both,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.1,0.8,within_30m,both,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.1,0.9,within_30m,yes_only,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,5
0.15,0.1,0.9,within_30m,yes_only,underdogs_only,both,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.1,0.9,within_30m,both,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.1,1.0,within_30m,yes_only,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,5
0.15,0.1,1.0,within_30m,yes_only,underdogs_only,both,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.1,1.0,within_30m,both,underdogs_only,home_only,32,20,12,0.625,0.19694820299476584,0.29874999999999996,41.0952380952381,1.2842261904761907,-8.0,True,True,4
0.15,0.0,0.7,within_30m,yes_only,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,4
0.15,0.0,0.7,within_30m,yes_only,both,both,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.15,0.0,0.7,within_30m,both,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.15,0.0,0.8,within_30m,yes_only,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,4
0.15,0.0,0.8,within_30m,yes_only,both,both,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.15,0.0,0.8,within_30m,both,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.15,0.0,0.9,within_30m,yes_only,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,4
0.15,0.0,0.9,within_30m,yes_only,both,both,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.15,0.0,0.9,within_30m,both,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.15,0.0,1.0,within_30m,yes_only,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,4
0.15,0.0,1.0,within_30m,yes_only,both,both,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.15,0.0,1.0,within_30m,both,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.15,0.1,0.7,within_30m,yes_only,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,4
0.15,0.1,0.7,within_30m,yes_only,both,both,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.15,0.1,0.7,within_30m,both,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.15,0.1,0.8,within_30m,yes_only,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,4
0.15,0.1,0.8,within_30m,yes_only,both,both,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.15,0.1,0.8,within_30m,both,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.15,0.1,0.9,within_30m,yes_only,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,4
0.15,0.1,0.9,within_30m,yes_only,both,both,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.15,0.1,0.9,within_30m,both,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.15,0.1,1.0,within_30m,yes_only,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,4
0.15,0.1,1.0,within_30m,yes_only,both,both,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.15,0.1,1.0,within_30m,both,both,home_only,36,20,16,0.5555555555555556,0.19320790406949373,0.3211111111111111,37.095238095238095,1.0304232804232805,-8.0,True,True,3
0.07,0.3,0.7,within_30m,yes_only,underdogs_only,home_only,48,36,12,0.75,0.14555515802123817,0.3841666666666666,41.16924670882068,0.8576926397670975,-8.0,True,True,4
0.07,0.3,0.7,within_30m,yes_only,underdogs_only,both,48,36,12,0.75,0.14555515802123817,0.3841666666666666,41.16924670882068,0.8576926397670975,-8.0,True,True,3
0.07,0.3,0.7,within_30m,both,underdogs_only,home_only,48,36,12,0.75,0.14555515802123817,0.3841666666666666,41.16924670882068,0.8576926397670975,-8.0,True,True,3
