diagnostic_type,item,status,value,detail
attachment_check,home_player_features_attached_to_home_team,pass,True,Home player features are prefixed with home_ after game_id merge.
attachment_check,away_player_features_attached_to_away_team,pass,True,Away player features are prefixed with away_ after game_id merge.
leakage_check,player_features_use_prior_games_only,pass,True,features.player_features uses team_game_order rows with game_date < current game_date.
missingness_by_season,2018,pass,1.0,rotation_coverage=0.9618
missingness_by_season,2019,pass,1.0,rotation_coverage=0.9547
missingness_by_season,2020,pass,1.0,rotation_coverage=0.9556
missingness_by_season,2021,pass,1.0,rotation_coverage=0.9610
missingness_by_season,2022,pass,1.0,rotation_coverage=0.9292
missingness_by_team,ATL,pass,1.0,games=347 rotation_coverage=0.9568
missingness_by_team,BKN,pass,1.0,games=350 rotation_coverage=0.9486
missingness_by_team,BOS,pass,1.0,games=353 rotation_coverage=0.9575
missingness_by_team,CHA,pass,1.0,games=346 rotation_coverage=0.9566
missingness_by_team,CHI,pass,1.0,games=345 rotation_coverage=0.9565
missingness_by_team,CLE,pass,1.0,games=346 rotation_coverage=0.9538
missingness_by_team,DAL,pass,1.0,games=356 rotation_coverage=0.9579
missingness_by_team,DEN,pass,1.0,games=352 rotation_coverage=0.9545
missingness_by_team,DET,pass,1.0,games=349 rotation_coverage=0.9542
missingness_by_team,GSW,pass,1.0,games=345 rotation_coverage=0.9536
missingness_by_team,HOU,pass,1.0,games=352 rotation_coverage=0.9545
missingness_by_team,IND,pass,1.0,games=354 rotation_coverage=0.9576
missingness_by_team,LAC,pass,1.0,games=353 rotation_coverage=0.9547
missingness_by_team,LAL,pass,1.0,games=351 rotation_coverage=0.9544
missingness_by_team,MEM,pass,1.0,games=352 rotation_coverage=0.9545
missingness_by_team,MIA,pass,1.0,games=354 rotation_coverage=0.9576
missingness_by_team,MIL,pass,1.0,games=353 rotation_coverage=0.9547
missingness_by_team,MIN,pass,1.0,games=345 rotation_coverage=0.9565
missingness_by_team,NOP,pass,1.0,games=352 rotation_coverage=0.9489
missingness_by_team,NYK,pass,1.0,games=347 rotation_coverage=0.9539
missingness_by_team,OKC,pass,1.0,games=352 rotation_coverage=0.9545
missingness_by_team,ORL,pass,1.0,games=353 rotation_coverage=0.9490
missingness_by_team,PHI,pass,1.0,games=352 rotation_coverage=0.9517
missingness_by_team,PHX,pass,1.0,games=354 rotation_coverage=0.9576
missingness_by_team,POR,pass,1.0,games=353 rotation_coverage=0.9547
missingness_by_team,SAC,pass,1.0,games=350 rotation_coverage=0.9514
missingness_by_team,SAS,pass,1.0,games=351 rotation_coverage=0.9573
missingness_by_team,TOR,pass,1.0,games=352 rotation_coverage=0.9545
missingness_by_team,UTA,pass,1.0,games=355 rotation_coverage=0.9577
missingness_by_team,WAS,pass,1.0,games=352 rotation_coverage=0.9574
feature_quality,away_expected_active_players,pass,1.213392872762912,missing_rate=0.0146 unique_values=10 near_constant=False
feature_quality,away_expected_assists_from_active_rotation,pass,2.778343427068853,missing_rate=0.0146 unique_values=427 near_constant=False
feature_quality,away_expected_plus_minus_from_active_rotation,pass,29.922110934038834,missing_rate=0.0146 unique_values=2121 near_constant=False
