season,season_label,nba_games,sportsbook_rows,matched_games,unmatched_nba_games,unmatched_sportsbook_games,match_rate
2007,2007-08,0,1230,0,0,1230,0.0
2008,2008-09,0,1230,0,0,1230,0.0
2009,2009-10,0,1230,0,0,1230,0.0
2010,2010-11,0,1232,0,0,1232,0.0
2011,2011-12,0,990,0,0,990,0.0
2012,2012-13,0,1230,0,0,1230,0.0
2013,2013-14,0,1231,0,0,1231,0.0
2014,2014-15,0,1231,0,0,1231,0.0
2015,2015-16,0,1232,0,0,1232,0.0
2016,2016-17,0,1230,0,0,1230,0.0
2017,2017-18,0,1231,0,0,1231,0.0
2018,2018-19,1230,1231,1230,0,1,1.0
2019,2019-20,1059,971,971,88,0,0.9169027384324835
2020,2020-21,1080,1256,1080,0,176,1.0
2021,2021-22,1230,1230,1230,0,0,1.0
2022,2022-23,1230,664,664,566,0,0.5398373983739837
2023,2023-24,1230,0,0,1230,0,0.0
2024,2024-25,1230,0,0,1230,0,0.0
2025,2025-26,1230,0,0,1230,0,0.0
